35,1613,datsun 1200
31,1649,toyota corona
39.1,1755,toyota starlet
35.1,1760,honda civic 1300
31,1773,toyota corolla 1200
33,1795,honda civic cvcc
33,1795,honda civic
36.1,1800,ford fiesta
36.1,1800,honda civic cvcc
29.5,1825,volkswagen rabbit
36,1825,renault 5 gtl
27,1834,volkswagen model 111
26,1835,volkswagen 1131 deluxe sedan
40.9,1835,renault lecar deluxe
32,1836,toyota corolla 1200
29.8,1845,vokswagen rabbit
44.6,1850,honda civic 1500 gl
29,1867,fiat 128
39,1875,plymouth champ
35.7,1915,dodge colt hatchback custom
31.9,1925,vw rabbit custom
29,1937,volkswagen rabbit
29,1937,vw rabbit
29,1940,volkswagen rabbit custom
33.5,1945,datsun f-10 hatchback
26,1950,volkswagen super beetle
31,1950,datsun b210
26,1955,plymouth cricket
26,1963,volkswagen dasher
38,1965,honda civic
32,1965,honda civic (auto)
38.1,1968,toyota corolla tercel
31,1970,mazda glc custom
34.1,1975,maxda glc deluxe
37,1975,datsun 210 mpg
36,1980,volkswagen rabbit l
30,1985,subaru dl
43.1,1985,volkswagen rabbit custom diesel
32.8,1985,mazda glc deluxe
34.1,1985,mazda glc 4
32,1990,datsun b-210
31.5,1990,volkswagen scirocco
38,1995,datsun 310 gx
31,2000,fiat x1.9
32,2003,datsun 710
37.2,2019,datsun 310
31.8,2020,datsun 210
37,2025,mazda glc custom l
29,2035,chevrolet chevette
31.5,2045,honda accord cvcc
34.4,2045,ford escort 4w
25,2046,ford pinto
37.7,2050,toyota tercel
30.5,2051,chevrolet chevette
30,2065,fiat 124b
32.3,2065,subaru
39.4,2070,datsun b210 gx
30,2074,peugeot 304
33.5,2075,dodge colt m/m
44.3,2085,vw rabbit c (diesel)
27,2100,toyota corolla 1600 (sw)
24,2108,fiat 128
46.6,2110,mazda glc
40.8,2110,datsun 210
32.1,2120,chevrolet chevette
28,2123,opel 1900
18,2124,maxda rx3
28,2125,dodge colt
38,2125,plymouth horizon miser
36,2125,mercury lynx l
25,2126,dodge colt hardtop
27,2130,datsun pl510
27,2130,datsun pl510
37.3,2130,fiat strada custom
44,2130,vw pickup
29.5,2135,honda accord lx
41.5,2144,vw rabbit
33.8,2145,subaru dl
34.5,2150,plymouth horizon tc3
28,2155,toyota corolla
30,2155,buick opel isuzu deluxe
30,2155,chevrolet chevette
24,2158,opel manta
36,2160,nissan stanza xe
28,2164,dodge colt (sw)
24.5,2164,chevrolet woody
29,2171,toyota corolla
34.3,2188,audi 4000
26,2189,renault 12 (sw)
30.5,2190,volkswagen dasher
33,2190,volkswagen jetta
34.2,2200,plymouth horizon
27,2202,renault 12tl
36,2205,honda accord
33.7,2210,honda prelude
34.7,2215,plymouth horizon 4
29,2219,audi fox
23,2220,mercury capri 2000
25,2220,opel 1900
25,2223,volkswagen dasher
21,2226,ford pinto runabout
25,2228,toyota corona
30.9,2230,dodge omni
26,2234,bmw 2002
34,2245,toyota corolla
26,2246,fiat 124 tc
23,2254,volkswagen type 3
26,2255,dodge colt
28,2264,chevrolet vega 2300
26,2265,fiat 124 sport coupe
26,2265,toyota corolla liftback
32.2,2265,toyota corolla
24,2278,toyota corona hardtop
20,2279,toyota carina
28,2288,datsun 510 (sw)
32.4,2290,honda accord
32,2295,dodge rampage
26,2300,opel manta
25.5,2300,plymouth arrow gs
27.2,2300,datsun 510
19,2310,ford pinto
34.5,2320,renault 18i
19,2330,mazda rx2 coupe
43.4,2335,vw dasher (diesel)
32.4,2350,toyota corolla
36,2370,dodge charger 2.2
24,2372,toyota corona mark ii
25,2375,saab 99e
22,2379,datsun 610
29.9,2380,ford escort 2h
30,2385,plymouth reliant
26,2391,subaru
22,2395,ford pinto (sw)
34,2395,chevrolet cavalier 2-door
21,2401,chevrolet vega
23.9,2405,datsun 200-sx
22,2408,chevrolet vega (sw)
20,2408,chevrolet vega
23.7,2420,mazda rx-7 gs
24,2430,audi 100 ls
37,2434,datsun 510 hatchback
26,2451,ford pinto
28,2464,fiat 131
21,2472,mercury capri v6
24,2489,honda civic
27.2,2490,plymouth reliant
35,2500,triumph tr7 coupe
23,2506,toyouta corona mark ii (sw)
22,2511,volkswagen 411 (sw)
21.1,2515,toyota celica gt liftback
29,2525,dodge aries se
25,2542,chevrolet vega
31.3,2542,mazda 626
24,2545,datsun 710
33.5,2556,pontiac phoenix
27.5,2560,toyota corona
26.5,2565,ford pinto
25,2572,capri ii
31,2575,pontiac j2000 se hatchback
20,2582,audi 100ls
26,2585,chrysler lebaron medallion
21,2587,ford maverick
23,2592,pontiac astro
28.8,2595,chevrolet citation
21.5,2600,bmw 320i
28,2605,chevrolet cavalier
32.9,2615,datsun 200sx
25.8,2620,dodge aries wagon (sw)
28,2625,ford ranger
19,2634,amc gremlin
26.6,2635,buick skylark
31.6,2635,mazda 626
23,2639,ford pinto
27,2640,chevrolet cavalier wagon
21,2648,amc gremlin
24,2660,saab 99le
32,2665,toyota celica gt
27.4,2670,amc spirit dl
28.4,2670,buick skylark limited
25,2671,saab 99le
25,2672,peugeot 504
28,2678,chevrolet citation
23,2694,audi 100ls
26.8,2700,oldsmobile omega brougham
24,2702,toyota corona
29.8,2711,toyota corona liftback
21.5,2720,mazda rx-4
25.1,2720,ford fairmont (man)
31,2720,chevy s-10
23.5,2725,chevrolet citation
27,2735,pontiac phoenix
24.5,2740,pontiac sunbird coupe
23.2,2745,plymouth sapporo
25.5,2755,ford mustang ii 2+2
18,2774,amc hornet
18,2789,amc gremlin
27,2790,ford mustang gl
21.6,2795,saab 99gle
27.9,2800,dodge colt
20,2807,toyota mark ii
22,2815,datsun 810
20.3,2830,audi 5000
22,2833,plymouth duster
22,2835,ford granada l
23.8,2855,oldsmobile starfire sx
24,2865,ford fairmont futura
19,2868,volvo 144ea
26.4,2870,ford fairmont
21,2875,ford maverick
22.3,2890,ford fairmont 4
25.4,2900,toyota cressida
19,2901,amc hornet
23,2904,plymouth duster
23.6,2905,ford mustang cobra
32.7,2910,datsun 280-zx
20,2914,amc gremlin
19,2930,toyota mark ii
24.2,2930,datsun 810 maxima
18,2933,volvo 145e (sw)
18,2945,amc hornet
22,2945,volvo 244dl
25,2945,buick century limited
36.4,2950,audi 5000s (diesel)
27,2950,chevrolet camaro
23,2957,peugeot 504
18,2962,amc hornet sportabout (sw)
20.2,2965,ford fairmont (auto)
21,2979,peugeot 504 (sw)
18,2984,ford pinto
19.8,2990,mercury zephyr 6
24.3,3003,amc concord
24,3012,ford maverick
38,3015,oldsmobile cutlass ciera (diesel)
18,3021,ford maverick
23,3035,amc concord dl
21,3039,buick skyhawk
20.2,3060,ford granada gl
20.8,3070,mercury zephyr
22.5,3085,amc hornet
14,3086,buick estate wagon (sw)
20,3102,plymouth duster
18,3121,plymouth valiant
18,3139,ford mustang
17,3140,volvo 264gl
20,3150,volvo 245
20.5,3155,chevrolet malibu
15,3158,ford maverick
30.7,3160,volvo diesel
13,3169,ford mustang ii
27.2,3190,peugeot 504
17.5,3193,amc pacer d/l
18.1,3205,ford futura
19.4,3210,amc concord
19,3211,amc pacer
20,3221,chevrolet monza 2+2
28.1,3230,peugeot 505s turbo diesel
22,3233,plymouth valiant
21.5,3245,pontiac lemans v6
30,3250,mercedes-benz 240d
19,3264,plymouth valiant custom
20.2,3265,amc concord dl 6
19,3270,peugeot 504
16,3278,chevrolet nova custom
19,3282,pontiac firebird
18,3288,amc matador
19,3302,ford torino 500
17,3329,chevrolet chevelle malibu
15,3336,chevrolet nova
22,3353,chevrolet nova
20.6,3360,dodge aspen 6
19.9,3365,oldsmobile cutlass salon brougham
20.6,3380,buick century special
19.1,3381,dodge aspen
15,3399,dodge dart custom
18.1,3410,amc concord d/l
16.2,3410,peugeot 604sl
22.4,3415,buick century
23.9,3420,oldsmobile cutlass salon brougham
20.5,3425,buick skylark
19.2,3425,chevrolet monte carlo landau
20.5,3430,plymouth volare
15,3432,mercury monarch
16,3433,amc rebel sst
18,3436,plymouth satellite
16,3439,plymouth satellite custom
17.7,3445,buick regal sport coupe (turbo)
17,3449,ford torino
18,3459,chevrolet nova
17.6,3465,chrysler lebaron salon
18,3504,chevrolet chevelle malibu
17.5,3520,chevrolet concours
18.5,3525,ford granada
25.4,3530,mercedes benz 300d
19.2,3535,pontiac phoenix lj
15,3563,dodge challenger se
20.2,3570,mercury monarch ghia
18,3574,ford granada ghia
19.2,3605,chevrolet malibu classic (sw)
14,3609,plymouth 'cuda 340
18,3613,plymouth satellite sebring
18.6,3620,dodge aspen
19,3630,plymouth volare custom
16,3632,amc matador
18.5,3645,pontiac ventura sj
20,3651,dodge aspen se
11,3664,oldsmobile omega
17,3672,amc ambassador sst
14,3672,amc matador
15,3693,buick skylark 320
17.6,3725,ford ltd landau
26.6,3725,oldsmobile cutlass ls
15,3730,amc matador
19.4,3735,dodge diplomat
13,3755,dodge d100
15,3761,chevrolet monte carlo
15,3777,dodge coronet custom
16,3781,chevrolet chevelle malibu classic
18,3785,plymouth fury
16.5,3820,mercedes-benz 280s
13,3821,amc ambassador brougham
18.2,3830,dodge st. regis
17,3840,chevrolet caprice classic
15,3850,amc ambassador dpl
13,3870,ford f108
17.5,3880,chevrolet caprice classic
15,3892,amc matador (sw)
16,3897,chevroelt chevelle malibu
23,3900,cadillac eldorado
17,3907,buick century
13,3940,plymouth volare premier v8
18.5,3940,chrysler lebaron town @ country (sw)
16.5,3955,mercury grand marquis
15.5,3962,amc matador
13,3988,chevrolet malibu
14,4042,ford gran torino
15.5,4054,ford country squire (sw)
13,4055,chevy c10
17,4060,oldsmobile cutlass supreme
14,4077,plymouth satellite custom (sw)
17.5,4080,dodge magnum xe
15,4082,chevrolet monte carlo s
14,4096,plymouth fury iii
13,4098,chevrolet chevelle concours (sw)
13,4100,buick century 350
14,4129,ford galaxie 500
15,4135,plymouth fury iii
15.5,4140,dodge monaco brougham
16,4141,ford gran torino
14,4154,ford galaxie 500
15.5,4165,chevrolet monte carlo landau
16,4190,dodge coronet brougham
14,4209,chevrolet impala
17.5,4215,chevrolet chevelle malibu classic
14.5,4215,ford gran torino
16,4220,pontiac grand prix lj
14,4237,plymouth fury gran sedan
14,4257,amc matador (sw)
13,4274,chevrolet impala
16,4278,pontiac grand prix
13,4294,ford gran torino (sw)
15,4295,mercury cougar brougham
14,4312,plymouth fury iii
15.5,4325,chrysler cordoba
16,4335,ford thunderbird
15,4341,ford galaxie 500
14,4354,chevrolet impala
16.9,4360,buick estate wagon (sw)
13,4363,ford ltd
10,4376,chevy c20
16.5,4380,cadillac seville
11,4382,dodge d200
14,4385,pontiac catalina
13,4422,chrysler newport royal
14,4425,pontiac catalina
15,4440,chevrolet bel air
12,4456,oldsmobile delta 88 royale
14,4457,dodge coronet custom (sw)
14,4464,pontiac catalina brougham
13,4464,chevrolet caprice classic
16,4498,plymouth grand fury
12,4499,oldsmobile vista cruiser
13,4502,buick lesabre custom
10,4615,ford f250
11,4633,mercury marquis
14,4638,ford gran torino (sw)
13,4654,plymouth custom suburb
14,4657,ford ltd
16,4668,pontiac catalina
13,4699,buick century luxus (sw)
9,4732,hi 1200d
13,4735,chrysler new yorker brougham
13,4746,ford country squire (sw)
12,4906,ford country
12,4951,buick electra 225 custom
12,4952,mercury marquis brougham
12,4955,dodge monaco (sw)
11,4997,chevrolet impala
13,5140,pontiac safari (sw)
