Weight,Miles Per Gallon
1613,35
1649,31
1755,39.1
1760,35.1
1773,31
1795,33
1800,36.1
1825,29.5
1834,27
1835,26
1836,32
1845,29.8
1850,44.6
1867,29
1875,39
1915,35.7
1925,31.9
1937,29
1940,29
1945,33.5
1950,26
1955,26
1963,26
1965,38
1968,38.1
1970,31
1975,34.1
1980,36
1985,30
1990,32
1995,38
2000,31
2003,32
2019,37.2
2020,31.8
2025,37
2035,29
2045,31.5
2046,25
2050,37.7
2051,30.5
2065,30
2070,39.4
2074,30
2075,33.5
2085,44.3
2100,27
2108,24
2110,46.6
2120,32.1
2123,28
2124,18
2125,28
2126,25
2130,27
2135,29.5
2144,41.5
2145,33.8
2150,34.5
2155,28
2158,24
2160,36
2164,28
2171,29
2188,34.3
2189,26
2190,30.5
2200,34.2
2202,27
2205,36
2210,33.7
2215,34.7
2219,29
2220,23
2223,25
2226,21
2228,25
2230,30.9
2234,26
2245,34
2246,26
2254,23
2255,26
2264,28
2265,26
2278,24
2279,20
2288,28
2290,32.4
2295,32
2300,26
2310,19
2320,34.5
2330,19
2335,43.4
2350,32.4
2370,36
2372,24
2375,25
2379,22
2380,29.9
2385,30
2391,26
2395,22
2401,21
2405,23.9
2408,22
2420,23.7
2430,24
2434,37
2451,26
2464,28
2472,21
2489,24
2490,27.2
2500,35
2506,23
2511,22
2515,21.1
2525,29
2542,25
2545,24
2556,33.5
2560,27.5
2565,26.5
2572,25
2575,31
2582,20
2585,26
2587,21
2592,23
2595,28.8
2600,21.5
2605,28
2615,32.9
2620,25.8
2625,28
2634,19
2635,26.6
2639,23
2640,27
2648,21
2660,24
2665,32
2670,27.4
2671,25
2672,25
2678,28
2694,23
2700,26.8
2702,24
2711,29.8
2720,21.5
2725,23.5
2735,27
2740,24.5
2745,23.2
2755,25.5
2774,18
2789,18
2790,27
2795,21.6
2800,27.9
2807,20
2815,22
2830,20.3
2833,22
2835,22
2855,23.8
2865,24
2868,19
2870,26.4
2875,21
2890,22.3
2900,25.4
2901,19
2904,23
2905,23.6
2910,32.7
2914,20
2930,19
2933,18
2945,18
2950,36.4
2957,23
2962,18
2965,20.2
2979,21
2984,18
2990,19.8
3003,24.3
3012,24
3015,38
3021,18
3035,23
3039,21
3060,20.2
3070,20.8
3085,22.5
3086,14
3102,20
3121,18
3139,18
3140,17
3150,20
3155,20.5
3158,15
3160,30.7
3169,13
3190,27.2
3193,17.5
3205,18.1
3210,19.4
3211,19
3221,20
3230,28.1
3233,22
3245,21.5
3250,30
3264,19
3265,20.2
3270,19
3278,16
3282,19
3288,18
3302,19
3329,17
3336,15
3353,22
3360,20.6
3365,19.9
3380,20.6
3381,19.1
3399,15
3410,18.1
3415,22.4
3420,23.9
3425,20.5
3430,20.5
3432,15
3433,16
3436,18
3439,16
3445,17.7
3449,17
3459,18
3465,17.6
3504,18
3520,17.5
3525,18.5
3530,25.4
3535,19.2
3563,15
3570,20.2
3574,18
3605,19.2
3609,14
3613,18
3620,18.6
3630,19
3632,16
3645,18.5
3651,20
3664,11
3672,17
3693,15
3725,17.6
3730,15
3735,19.4
3755,13
3761,15
3777,15
3781,16
3785,18
3820,16.5
3821,13
3830,18.2
3840,17
3850,15
3870,13
3880,17.5
3892,15
3897,16
3900,23
3907,17
3940,13
3955,16.5
3962,15.5
3988,13
4042,14
4054,15.5
4055,13
4060,17
4077,14
4080,17.5
4082,15
4096,14
4098,13
4100,13
4129,14
4135,15
4140,15.5
4141,16
4154,14
4165,15.5
4190,16
4209,14
4215,17.5
4220,16
4237,14
4257,14
4274,13
4278,16
4294,13
4295,15
4312,14
4325,15.5
4335,16
4341,15
4354,14
4360,16.9
4363,13
4376,10
4380,16.5
4382,11
4385,14
4422,13
4425,14
4440,15
4456,12
4457,14
4464,14
4498,16
4499,12
4502,13
4615,10
4633,11
4638,14
4654,13
4657,14
4668,16
4699,13
4732,9
4735,13
4746,13
4906,12
4951,12
4952,12
4955,12
4997,11
5140,13
